index,Country,Num Players,Women,% of Women,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,Age Avg
73,Mongolia,560,197,35.18,1690,4,12,28,2,8,11,29
74,Uruguay,559,37,6.62,1453,2,6,11,0,1,2,41
75,Jordan,513,58,11.31,1545,0,3,13,0,2,4,33
76,Kenya,501,82,16.37,1376,0,0,3,0,0,6,29
77,Libya,501,6,1.2,1706,0,0,8,0,0,2,37
78,Kyrgyzstan,468,84,17.95,1509,0,7,3,0,1,2,28
79,New Zealand,461,52,11.28,1716,1,6,22,0,3,5,41
80,SCOTLAND,440,30,6.82,1818,7,9,21,0,0,6,47
81,Tunisia,439,45,10.25,1621,2,6,10,0,1,6,34
82,Paraguay,436,45,10.32,1524,4,4,14,0,2,1,33
83,Estonia,436,96,22.02,1742,6,15,13,1,5,10,35
84,Montenegro,429,36,8.39,1872,6,15,33,0,2,2,47
85,Angola,371,48,12.94,1636,0,10,9,0,2,3,30
86,Macedonia,363,29,7.99,1542,10,10,22,0,1,4,41
87,Botswana,360,93,25.83,1524,0,1,5,1,4,4,23
88,WALES,359,39,10.86,1815,1,5,13,0,0,3,49
89,United Arab Emirates,343,104,30.32,1479,2,6,16,0,4,7,22
90,Thailand,334,67,20.06,1528,0,0,9,0,0,3,29
91,Luxembourg,315,19,6.03,1774,0,4,7,2,2,1,47
92,Madagascar,305,28,9.18,1574,0,2,3,0,0,3,33
93,Syria,299,24,8.03,1834,0,5,13,0,1,1,40
94,Morocco,298,28,9.4,1759,1,6,9,0,2,3,37
95,Nigeria,295,36,12.2,1899,0,7,16,0,0,5,37
96,Zimbabwe,287,66,23.0,1617,0,4,0,0,0,0,25
97,Puerto Rico,285,29,10.18,1600,0,3,8,0,1,3,35
98,Hong Kong,281,24,8.54,1480,0,0,9,0,0,1,27
99,Turkmenistan,271,72,26.57,1872,5,8,15,1,0,20,33
100,Jamaica,259,37,14.29,1235,0,2,6,0,1,0,27
101,Panama,252,33,13.1,1613,0,2,8,0,0,2,32
102,FIDE,252,27,10.71,1585,2,4,14,0,0,1,36
103,Japan,244,23,9.43,1803,0,3,9,0,1,2,38
104,Uganda,243,32,13.17,1652,0,2,8,0,0,5,29
105,Albania,234,17,7.26,1751,1,7,6,0,0,3,43
106,Kosovo,232,6,2.59,1923,0,2,7,0,0,1,49
107,El Salvador,230,45,19.57,1627,0,4,8,0,4,7,33
108,Nicaragua,223,31,13.9,1619,0,3,16,0,1,2,32
109,Guatemala,219,37,16.89,1588,0,2,11,0,4,1,33
110,Honduras,219,31,14.16,1611,0,1,8,0,0,3,32
111,Malawi,211,20,9.48,1627,0,0,2,0,0,1,32
112,Trinidad and Tobago,205,32,15.61,1577,0,1,12,0,1,2,34
113,Lebanon,191,19,9.95,1630,0,3,6,0,1,3,33
114,Sudan,182,10,5.49,1716,0,1,6,0,0,0,41
115,Faroe Islands,176,3,1.7,1698,1,2,7,0,0,0,44
116,Palestine,164,18,10.98,1593,0,1,1,0,0,1,34
117,Saudi Arabia,152,0,0.0,1591,0,0,1,0,0,0,37
118,Cyprus,151,8,5.3,1335,0,0,5,0,0,0,33
119,Oman,147,4,2.72,1141,0,0,3,0,0,0,31
120,Barbados,143,26,18.18,1573,0,4,5,0,0,1,31
122,Malta,132,11,8.33,1554,0,1,2,0,0,3,39
123,Suriname,131,27,20.61,1469,0,0,4,0,0,5,23
124,Pakistan,130,9,6.92,1746,0,2,2,0,0,0,44
125,Tajikistan,129,38,29.46,1681,1,4,4,0,0,1,36
126,Lesotho,121,16,13.22,1375,0,0,0,0,0,1,24
127,Kuwait,119,14,11.76,1412,0,0,2,0,0,0,35
128,Palau,116,29,25.0,1395,0,0,0,0,0,1,41
129,Ethiopia,90,22,24.44,1742,0,0,2,0,0,0,34
130,Namibia,86,21,24.42,1453,0,0,2,0,0,1,22
131,Ghana,82,10,12.2,1542,0,1,1,0,0,1,32
132,Afghanistan,78,1,1.28,1650,0,0,5,0,0,0,40
133,Bermuda,72,3,4.17,1447,0,0,1,0,0,1,46
134,Mauritania,72,5,6.94,1661,0,0,1,0,0,0,41
135,Monaco,71,14,19.72,1766,4,3,4,1,2,2,41
136,Andorra,67,7,10.45,1701,2,2,4,0,0,0,39
137,Mozambique,64,22,34.38,1595,0,0,2,0,1,0,26
138,Yemen,56,10,17.86,1725,0,4,5,0,0,1,31
139,Qatar,52,16,30.77,1682,3,1,2,0,0,3,30
140,Aruba,48,12,25.0,1647,0,1,1,0,0,1,33
141,Swaziland,48,9,18.75,1252,0,0,0,0,0,0,28
142,Guyana,47,7,14.89,1474,0,0,1,0,0,1,32
143,Netherlands Antilles,45,8,17.78,1747,0,0,5,0,0,1,41
144,Fiji,43,8,18.6,1627,0,0,0,0,0,2,36
145,Rwanda,42,5,11.9,1608,0,0,0,0,0,1,36
146,Macao,41,6,14.63,1703,0,0,3,0,0,0,32
147,Brunei,40,3,7.5,1709,0,0,5,0,0,0,33
148,Cape Verde,40,0,0.0,1184,0,0,0,0,0,0,40
149,Ivory Coast,38,2,5.26,1655,0,0,1,0,0,0,41
150,Bahamas,38,6,15.79,1562,0,0,1,0,0,0,43
151,Maldives,35,7,20.0,1482,0,0,2,0,0,0,35
152,Tanzania,34,6,17.65,1340,0,0,0,0,0,0,53
153,Guam,33,4,12.12,1679,0,0,0,0,0,1,49
154,Brunei,32,2,6.25,1731,0,0,2,0,0,1,38
155,Jersey,30,1,3.33,1743,0,0,1,0,0,0,38
156,Mauritius,28,3,10.71,1705,0,0,2,0,0,0,43
157,Togo,25,3,12.0,1551,0,0,0,0,0,0,36
158,Guernsey,23,2,8.7,1744,0,0,1,0,0,0,56
159,Haiti,21,4,19.05,1758,0,0,1,0,0,0,28
160,Liberia,19,0,0.0,1772,0,0,2,0,0,0,37
161,East Timor,18,2,11.11,1551,0,0,0,0,0,0,30
162,South Sudan,18,0,0.0,1961,0,0,0,0,0,0,31
163,Sao Tome and Principe,17,1,5.88,1730,0,0,0,0,0,0,37
164,Liechtenstein,17,2,11.76,1888,0,0,2,0,0,0,49
165,Laos,16,4,25.0,1265,0,0,0,0,0,0,24
166,Cameroon,16,2,12.5,1757,0,1,2,0,0,0,40
167,Burkina Faso,15,0,0.0,1475,0,0,0,0,0,0,50
168,Solomon Islands,14,0,0.0,1721,0,0,0,0,0,0,39
169,Somalia,13,0,0.0,1693,0,0,0,0,0,0,29
170,Seychelles,13,4,30.77,1573,0,0,1,0,0,0,32
171,Mali,12,0,0.0,1858,0,0,2,0,0,0,50
172,Senegal,12,3,25.0,1661,0,0,0,0,0,0,49
173,Burundi,12,0,0.0,1726,0,0,1,0,0,0,34
174,Gambia,11,0,0.0,1862,0,0,1,0,0,0,57
175,San Marino,11,0,0.0,1815,0,0,2,0,0,0,49
176,United States Virgin Islands,11,2,18.18,1612,0,0,2,0,0,0,39
177,Djibouti,10,0,0.0,1652,0,0,0,0,0,0,34
178,Papua New Guinea,10,0,0.0,1829,0,0,3,0,0,0,63
179,Nauru,8,0,0.0,1685,0,0,1,0,0,0,45
181,Congo,7,0,0.0,1679,0,0,2,0,0,0,51
182,Bhutan,7,0,0.0,1438,0,0,0,0,0,0,32
183,Sierra Leone,6,1,16.67,1680,0,0,0,0,0,0,41
184,Netherlands Antilles,6,0,0.0,1191,0,0,0,0,0,0,28
185,Eritrea,6,0,0.0,1820,0,0,0,0,0,0,31
186,Virgin Islands,4,0,0.0,1749,0,0,0,0,0,0,54
187,Central African Republic,4,0,0.0,1556,0,0,0,0,0,0,38
188,Gabon,3,0,0.0,1878,0,0,1,0,0,0,39
189,Cambodia,2,0,0.0,2250,0,0,1,0,0,0,59
